Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
"density, mass density, volumic mass",1,KMQ,kilogram per cubic metre,kg/m³,kg/m³,A unit of weight expressed in kilograms of a substance that fills a volume of one cubic metre.
"density, mass density, volumic mass",1S,23,gram per cubic centimetre,10³ kg/m³,g/cm³,
"density, mass density, volumic mass",1S,D41,tonne per cubic metre,10³ kg/m³,t/m³,
"density, mass density, volumic mass",1S,GJ,gram per millilitre,10³ kg/m³,g/ml,
"density, mass density, volumic mass",1S,B35,kilogram per litre,10³ kg/m³,kg/l or kg/L,
"density, mass density, volumic mass",1S,GL,gram per litre,kg/m³,g/l,
"density, mass density, volumic mass",1M,A93,gram per cubic metre,10⁻³ kg/m³,g/m³,
"density, mass density, volumic mass",1M,GP,milligram per cubic metre,10⁻⁶ kg/m³,mg/m³,
"density, mass density, volumic mass",1S,B72,megagram per cubic metre,10³ kg/m³,Mg/m³,
"density, mass density, volumic mass",1S,B34,kilogram per cubic decimetre,10³ kg/m³,kg/dm³,
"density, mass density, volumic mass",1S,H64,milligram per gram,10⁻³ 1,mg/g,
"density, mass density, volumic mass",1M,H29,microgram per litre,10⁻⁶ m⁻³ x kg,µg/l,
"density, mass density, volumic mass",1M,M1,milligram per litre,10⁻³ kg/m³,mg/l,
"density, mass density, volumic mass",1M,GQ,microgram per cubic metre,10⁻⁹ kg/m³,µg/m³,
"density, mass density, volumic mass",1M,G11,gram per cubic centimetre bar,10⁻² m⁻² x s²,g/(cm³·bar),
"density, mass density, volumic mass",1M,G33,gram per cubic centimetre kelvin,10³ kg x m⁻³ x K⁻¹,g/(cm³·K),
"density, mass density, volumic mass",1M,F23,gram per cubic decimetre,kg x m⁻³,g/dm³,
"density, mass density, volumic mass",1M,G12,gram per cubic decimetre bar,10⁻⁵ m⁻² x s²,g/(dm³·bar),
"density, mass density, volumic mass",1M,G34,gram per cubic decimetre kelvin,kg x m⁻³ x K⁻¹,g/(dm³·K),
"density, mass density, volumic mass",1M,G14,gram per cubic metre bar,10⁻⁸ m⁻² x s²,g/(m³·bar),
"density, mass density, volumic mass",1M,G36,gram per cubic metre kelvin,10⁻³ kg x m⁻³ x K⁻¹,g/(m³·K),
"density, mass density, volumic mass",1M,G13,gram per litre bar,10⁻⁵ m⁻² x s²,g/(l·bar),
"density, mass density, volumic mass",1M,G35,gram per litre kelvin,kg x m⁻³ x K⁻¹,g/(l·K),
"density, mass density, volumic mass",1M,G15,gram per millilitre bar,10⁻² m⁻² x s²,g/(ml·bar),
"density, mass density, volumic mass",1M,G37,gram per millilitre kelvin,10³ kg x m⁻³ x K⁻¹,g/(ml·K),
"density, mass density, volumic mass",1M,G31,kilogram per cubic centimetre,10⁶ kg x m⁻³,kg/cm³,
"density, mass density, volumic mass",1M,G16,kilogram per cubic centimetre bar,10¹ m⁻² x s²,kg/(cm³·bar),
"density, mass density, volumic mass",1M,G38,kilogram per cubic centimetre kelvin,10⁶ kg x m⁻³ x K⁻¹,kg/(cm³·K),
"density, mass density, volumic mass",1M,G18,kilogram per cubic metre bar,10⁻⁵ m⁻² x s²,kg/(m³·bar),
"density, mass density, volumic mass",1M,G40,kilogram per cubic metre kelvin,kg x m⁻³ x K⁻¹,kg/(m³·K),
"density, mass density, volumic mass",1M,H54,kilogram per cubic decimetre kelvin,10³ m⁻³ x kg x K⁻¹,(kg/dm³)/K,
"density, mass density, volumic mass",1M,H55,kilogram per cubic decimetre bar,10⁻² m⁻² x s²,(kg/dm³)/bar,
"density, mass density, volumic mass",1M,F14,gram per kelvin,10⁻³ kg x K⁻¹,g/K,
"density, mass density, volumic mass",1M,F15,kilogram per kelvin,kg x K⁻¹,kg/K,
"density, mass density, volumic mass",1M,F24,kilogram per kilomol,10⁻³ kg x mol⁻¹,kg/kmol,
"density, mass density, volumic mass",1M,G17,kilogram per litre bar,10⁻² m⁻² x s²,kg/(l·bar),
"density, mass density, volumic mass",1M,G39,kilogram per litre kelvin,10³ kg x m⁻³ x K⁻¹,kg/(l·K),
"density, mass density, volumic mass",1M,H53,kilogram per bar,10⁻⁵ m x s²,kg/bar,
"density, mass density, volumic mass",1M,F18,kilogram square centimetre,10⁻⁴ kg m²,kg·cm²,
"density, mass density, volumic mass",1M,F19,kilogram square millimetre,10⁻⁶ kg m²,kg·mm²,
"density, mass density, volumic mass",1M,F74,gram per bar,10⁻⁸ m x s²,g/bar,
"density, mass density, volumic mass",1M,F75,milligram per bar,10⁻¹¹ m x s²,mg/bar,
"density, mass density, volumic mass",1M,F16,milligram per kelvin,10⁻⁶ kg x K⁻¹,mg/K,
"density, mass density, volumic mass",1M,M73,kilogram per cubic metre pascal,m⁻² x s²,(kg/m³)/Pa,SI base unit kilogram divided by the product of the power of the SI base unit metre with exponent 3 and the derived SI unit pascal.
"density, mass density, volumic mass",2,87,pound per cubic foot,"1,601 846 x 10¹ kg/m³",lb/ft³,
"density, mass density, volumic mass",2,GE,pound per gallon (US),"1,198 264 x 10² kg/m³",lb/gal (US),
"density, mass density, volumic mass",2,LA,pound per cubic inch,"2,767 990 x 10⁴ kg/m³",lb/in³,
"density, mass density, volumic mass",2,G32,ounce (avoirdupois) per cubic yard,"3,707 98 × 10⁻² kg x m⁻³",oz/yd³,
"density, mass density, volumic mass",2,J34,microgram per cubic metre kelvin,10⁻⁹ (kg/m³)/K,(µg/m³)/K,
"density, mass density, volumic mass",2,J35,microgram per cubic metre bar,10⁻¹⁴ (kg/m³)/Pa,(µg/m³)/bar,
"density, mass density, volumic mass",2,K41,grain per gallon (US),"1,711 806 x 10⁻² kg/m³",gr/gal (US),
"density, mass density, volumic mass",2,K69,pound (avoirdupois) per cubic foot degree Fahrenheit,"28,833 23 (kg/m³)/K",(lb/ft³)/°F,
"density, mass density, volumic mass",2,K70,pound (avoirdupois) per cubic foot psi,"2,323 282 x 10⁻³",(lb/ft³)/psi,
"density, mass density, volumic mass",2,K71,pound (avoirdupois) per gallon (UK),"99,776 37 kg/m³",lb/gal (UK),
"density, mass density, volumic mass",2,K75,pound (avoirdupois) per cubic inch degree Fahrenheit,"4,982 384 x 10⁴ (kg/m³)/K",(lb/in³)/°F,
"density, mass density, volumic mass",2,K76,pound (avoirdupois) per cubic inch psi,"4,014 632 (kg/m³)/Pa",(lb/in³)/psi,
"density, mass density, volumic mass",2,K84,pound per cubic yard,"0,593 276 4 kg/m³",lb/yd³,
"density, mass density, volumic mass",2,L17,milligram per cubic metre kelvin,10⁻⁶ (kg/m³)/K,(mg/m³)/K,
"density, mass density, volumic mass",2,L18,milligram per cubic metre bar,10⁻¹¹ (kg/m³)/Pa,(mg/m³)/bar,
"density, mass density, volumic mass",2,L37,ounce (avoirdupois) per gallon (UK),"6,236 023 kg/m³",oz/gal (UK),
"density, mass density, volumic mass",2,L38,ounce (avoirdupois) per gallon (US),"7,489 152 kg/m³",oz/gal (US),
"density, mass density, volumic mass",2,L39,ounce (avoirdupois) per cubic inch,"1,729 994 x 10³ kg/m³",oz/in³,
"density, mass density, volumic mass",2,L65,slug per cubic foot,"5,153 788 x 10² kg/m³",slug/ft³,
"density, mass density, volumic mass",2,L76,tonne per cubic metre kelvin,10³ (kg/m³)/K,(t/m³)/K,
"density, mass density, volumic mass",2,L77,tonne per cubic metre bar,10⁻² (kg/m³)/Pa,(t/m³)/bar,
"density, mass density, volumic mass",2,L92,ton (UK long) per cubic yard,"1,328 939 x 10³ kg/m³",ton.l/yd³ (UK),
"density, mass density, volumic mass",2,L93,ton (US short) per cubic yard,"1,186 553 x 10³ kg/m³",ton.s/yd³ (US),
"density, mass density, volumic mass",2,K77,pound (avoirdupois) per psi,"6,578 802 x 10⁻⁵ kg/Pa",lb/psi,
"density, mass density, volumic mass",2,L70,tonne per bar,10⁻² kg/Pa,t/bar,
"density, mass density, volumic mass",2,L91,ton short per psi,"0,131 576",ton (US)/psi,
"density, mass density, volumic mass",2,M74,kilogram per pascal,m x s²,kg/Pa,SI base unit kilogram divided by the derived SI unit pascal.
"relative density, relative mass density",1,C62,one,1,1,Synonym: unit
"specific volume, massic volume",1,A39,cubic metre per kilogram,m³/kg,m³/kg,
"specific volume, massic volume",1M,22,decilitre per gram,10⁻¹ x m³/kg,dl/g,
"specific volume, massic volume",1M,H65,millilitre per cubic metre,10⁻⁶ 1,ml/m³,
"specific volume, massic volume",1M,H83,litre per kilogram,10⁻³ m³ x kg⁻¹,l/kg,
"specific volume, massic volume",1M,KX,millilitre per kilogram,10⁻⁶ m³/kg,ml/kg,
"specific volume, massic volume",1M,H15,square centimetre per gram,10⁻¹ kg⁻¹ x m²,cm²/g,
"specific volume, massic volume",1M,N28,cubic decimetre per kilogram,10⁻³ m³ x kg⁻¹,dm³/kg,"0,001 fold of the power of the SI base unit meter by exponent 3 divided by the SI based unit kilogram."
"specific volume, massic volume",2,N29,cubic foot per pound,"6,242 796 x 10⁻² m³/kg",ft³/lb,Power of the unit foot according to the Anglo-American and Imperial system of units by exponent 3 divided by the unit avoirdupois pound according to the avoirdupois unit system.
"specific volume, massic volume",2,N30,cubic inch per pound,"3,612 728 x 10⁻⁵ m³/kg",in³/lb,Power of the unit inch according to the Anglo-American and Imperial system of units by exponent 3 divided by the avoirdupois pound according to the avoirdupois unit system .
"linear density, linear mass",1,KL,kilogram per metre,kg/m,kg/m,
"linear density, linear mass",1M,GF,gram per metre (gram per 100 centimetres),10⁻³ kg/m,g/m,
"linear density, linear mass",1M,H76,gram per millimetre,10¹ kg x m⁻¹,g/mm,
"linear density, linear mass",1M,KW,kilogram per millimetre,10³ kg/m,kg/mm,
"linear density, linear mass",1S,C12,milligram per metre,10⁻⁶ kg/m,mg/m,
"linear density, linear mass",1S,M31,kilogram per kilometre,10⁻³ kg/m,kg/km,
"linear density, linear mass",2,P2,pound per foot,"1,488 164 kg/m",lb/ft,
"linear density, linear mass",2,PO,pound per inch of length,"1,785 797 x 10¹ kg/m",lb/in,
"linear density, linear mass",2,M83,denier ,"1,111 111 x 10⁻⁷ kg/m",den,Traditional unit for the indication of the linear mass of textile fibers and yarns.
"linear density, linear mass",2,M84,pound per yard ,"4,960 546 x 10⁻¹ kg/m",lb/yd,Unit for linear mass according to avoirdupois system of units.
"surface density, areic mass",1,GO,milligram per square metre,10⁻⁶ kg/m²,mg/m²,
"surface density, areic mass",1M,25,gram per square centimetre,10 kg/m²,g/cm²,
"surface density, areic mass",1S,H63,milligram per square centimetre,10⁻² m⁻² x kg,mg/cm²,
"surface density, areic mass",1M,GM,gram per square metre,10⁻³ kg/m²,g/m²,
"surface density, areic mass",1M,28,kilogram per square metre,kg/m²,kg/m²,
"surface density, areic mass",2,D5,kilogram per square centimetre,10⁴ kg/m²,kg/cm²,
"surface density, areic mass",2,ON,ounce per square yard,"3,390 575 x 10⁻² kg/m²",oz/yd²,
"surface density, areic mass",2,37,ounce per square foot,"0,305 151 7 kg/m²",oz/ft²,
momentum,1,B31,kilogram metre per second,kg x m/s,kg·m/s,
momentum,1M,M98,kilogram centimetre per second,10⁻² kg x m/s,kg·(cm/s),"Product of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
momentum,1M,M99,gram centimetre per second,10⁻⁵ kg x m/s,g·(cm/s),"Product of the 0,001-fold of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
momentum,2,N10,pound foot per second,"1,382 550 x 10⁻¹ kg x m/s",lb·(ft/s),Product of the avoirdupois pound according to the avoirdupois unit system and the unit foot according to the Anglo-American and Imperial system of units divided by the SI base unit second.
momentum,2,N11,pound inch per second,"1,152 125 x 10⁻² kg x m/s",lb·(in/s),Product of the avoirdupois pound according to the avoirdupois unit system and the unit inch according to the Anglo-American and Imperial system of units divided by the SI base unit second.
"moment of momentum, angular momentum",1,B33,kilogram metre squared per second,kg x m²/s,kg·m²/s,
moment of inertia (dynamic moment of inertia),1,B32,kilogram metre squared,kg x m²,kg·m²,
moment of inertia (dynamic moment of inertia),2,F20,pound inch squared,"2,926 397 x 10⁻⁴ kg x m²",lb·in²,
moment of inertia (dynamic moment of inertia),2,K65,pound (avoirdupois) square foot,"4,214 011 x 10⁻² kg x m²",lb·ft²,
"force, weight",1,NEW,newton,(kg x m)/s²,N,
"force, weight",1S,B73,meganewton,10⁶ N,MN,
"force, weight",1S,B47,kilonewton,10³ N,kN,
"force, weight",1S,C20,millinewton,10⁻³ N,mN,
"force, weight",1S,B92,micronewton,10⁻⁶ N,µN,
"force, weight",2,DU,dyne,10⁻⁵ N,dyn,
"force, weight",2,C78,pound-force,"4,448 222 N",lbf,
"force, weight",2,B37,kilogram-force,"9,806 65 N",kgf,
"force, weight",2,B51,kilopond,"9,806 65 N",kp,Synonym: kilogram-force
"force, weight",2,L40,ounce (avoirdupois)-force,"0,278 013 9 N",ozf,
"force, weight",2,L94,ton-force (US short),"8,896 443 x 10³ N",ton.sh-force,
"force, weight",2,M75,kilopound-force,"4,448 222 x 10³ N",kip,1000-fold of the unit of the force pound-force (lbf) according to the Anglo-American system of units with the relationship.
"force, weight",2,M76,poundal,"1,382 550 x 10⁻¹ N",pdl,"Non SI-conforming unit of the power, which corresponds to a mass of a pound multiplied with the acceleration of a foot per square second."
"force, weight",2,M77,kilogram metre per second squared,(kg x m)/s²,kg·m/s²,Product of the SI base unit kilogram and the SI base unit metre divided by the power of the SI base unit second by exponent 2.
"force, weight",2,M78,pond,"9,806 65 x 10⁻³ N",p,"0,001-fold of the unit of the weight, defined as a mass of 1 kg which finds out about a weight strength from 1 kp by the gravitational force at sea level which corresponds to a strength of 9,806 65 newton."
force divided by length,2,F17,pound-force per foot,"1,459 39 × 10¹ kg x s⁻²",lbf/ft,
force divided by length,2,F48,pound-force per inch,"1,751 27 × 10² kg x s⁻²",lbf/in,
gravitational constant,1,C54,newton metre squared per kilogram squared,N x m²/kg²,N·m²/kg²,
"moment of force, moment of a couple, torque",1,NU,newton metre,N x m,N·m,
"moment of force, moment of a couple, torque",1,H40,newton per ampere,kg x m x s⁻² x A⁻¹,N/A,
"moment of force, moment of a couple, torque",1S,B74,meganewton metre,10⁶ N x m,MN·m,
"moment of force, moment of a couple, torque",1S,B48,kilonewton metre,10³ N x m,kN·m,
"moment of force, moment of a couple, torque",1S,D83,millinewton metre,10⁻³ N x m,mN·m,
"moment of force, moment of a couple, torque",1S,B93,micronewton metre,10⁻⁶ N x m,µN·m,
"moment of force, moment of a couple, torque",1S,DN,decinewton metre,10⁻¹ N x m,dN·m,
"moment of force, moment of a couple, torque",1S,J72,centinewton metre,10⁻² N x m,cN·m,
"moment of force, moment of a couple, torque",1S,M94,kilogram metre,kg x m,kg·m,Unit of imbalance as a product of the SI base unit kilogram and the SI base unit metre.
"moment of force, moment of a couple, torque",1M,F88,newton centimetre,10⁻² kg x m² x s⁻²,N·cm,
"moment of force, moment of a couple, torque",1M,F90,newton metre per ampere,kg x m² x s⁻² x A⁻¹,N·m/A,
"moment of force, moment of a couple, torque",1M,F89,newton metre per degree,"57,295 788 kg x m² x s⁻² x rad⁻¹",Nm/°,
"moment of force, moment of a couple, torque",1M,G19,newton metre per kilogram,m² x s⁻²,N·m/kg,
"moment of force, moment of a couple, torque",1M,F47,newton per millimetre,10³ kg x s⁻²,N/mm,
"moment of force, moment of a couple, torque",1M,M93,newton metre per radian,m² x kg x s⁻² x rad⁻¹,N·m/rad,Product of the derived SI unit newton and the SI base unit metre divided by the unit radian.
"moment of force, moment of a couple, torque",2,H41,"newton metre watt to the power minus 0,5",kg x m² x s⁻² x W⁻⁰‧⁵,N·m·W⁻⁰‧⁵,
"moment of force, moment of a couple, torque",2,B38,kilogram-force metre,"9,806 65 N x m",kgf·m,
"moment of force, moment of a couple, torque",2,IA,inch pound (pound inch),"1,152 12 x 10⁻² kg x m",in·lb,
"moment of force, moment of a couple, torque",2,4Q,ounce inch,"7,200 778 x 10⁻⁴ kg x m",oz·in,
"moment of force, moment of a couple, torque",2,4R,ounce foot,"8,640 934 x 10⁻³ kg x m",oz·ft,
"moment of force, moment of a couple, torque",2,F22,pound-force foot per ampere,"1,355 82 kg x m² x s⁻² x A⁻¹",lbf·ft/A,
"moment of force, moment of a couple, torque",2,F21,pound-force inch,"1,129 85 × 10⁻¹ kg x m² x s⁻²",lbf·in,
"moment of force, moment of a couple, torque",2,G20,pound-force foot per pound,"2,989 07 m² x s⁻²",lbf·ft/lb,
"moment of force, moment of a couple, torque",2,J94,dyne centimetre,10⁻⁷ N x m,dyn·cm,
"moment of force, moment of a couple, torque",2,L41,ounce (avoirdupois)-force inch,"7,061 552 x 10⁻³ N x m",ozf·in,
"moment of force, moment of a couple, torque",2,M92,pound-force foot,"1,355 818 N x m",lbf·ft,Product of the unit pound-force according to the Anglo-American system of units and the unit foot according to the Anglo-American and the Imperial system of units.
"moment of force, moment of a couple, torque",2,M95,poundal foot,"4,214 011 x 10⁻² N x m",pdl·ft,Product of the non SI-conforming unit of the force poundal and the unit foot according to the Anglo-American and Imperial system of units .
"moment of force, moment of a couple, torque",2,M96,poundal inch,"3,511 677 10⁻³ N x m",pdl·in,Product of the non SI-conforming unit of the force poundal and the unit inch according to the Anglo-American and Imperial system of units .
